id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,request_type,request_time,mobility_type,call_time,direct_drive_time
1,60.06835204185228,11.276715331350074,60.42658034141971,10.86067502736899,0,1106,WALKING,1099,0
2,60.452168077103096,11.141783340869722,60.31143553084446,11.411647321830426,0,517,WALKING,509,0
3,59.62056666739299,11.018095682929399,59.87644402422687,10.995607017849341,0,984,WALKING,973,0
4,60.04276430616889,11.591556642470893,60.06835204185228,11.231738001189957,0,1352,WALKING,1343,0
5,59.79968081717671,10.635788376568403,59.844459354622636,10.871919359909018,0,715,WALKING,702,0
6,59.94681029735619,10.928141022609164,59.889237892068564,11.130539008329691,0,550,WALKING,541,0
7,60.221878455952606,11.557823644850806,60.26026005947769,11.299203996430132,0,747,WALKING,733,0
8,60.32422939868616,11.198005003569868,60.202687654190065,11.276715331350074,0,642,WALKING,629,0
9,59.77409308149332,10.66952137418849,59.73571147796824,10.647032709108432,0,1126,WALKING,1117,0
10,59.889237892068564,11.051828680549487,59.77409308149332,10.86067502736899,0,527,WALKING,516,0
11,60.369007936132085,10.781964699588784,60.119527513219055,11.108050343249634,0,1205,WALKING,1199,0
12,59.697329874443156,10.545833716248168,59.85085628854348,11.029340015469428,0,648,WALKING,640,0
13,59.991588834802116,11.299203996430132,60.010779636564656,11.198005003569868,0,368,WALKING,362,0
14,60.08114590969397,10.973118352769282,60.13232138106075,11.063073013089516,0,527,WALKING,518,0
15,60.17709991850668,11.175516338489809,59.87644402422687,11.108050343249634,0,413,WALKING,407,0
16,59.60137586563045,10.590811046408286,59.64615440307638,10.53458938370814,0,566,WALKING,557,0
17,59.88284095814772,10.83818636228893,59.85725322246433,10.961874020229253,0,490,WALKING,484,0
18,59.99798576872296,11.299203996430132,59.71012374228485,11.4791133170706,0,1375,WALKING,1361,0
19,59.953207231277034,10.83818636228893,59.94041336343534,10.928141022609164,0,1047,WALKING,1033,0
20,59.87644402422687,10.905652357529107,59.7165206762057,11.15302767340975,0,517,WALKING,503,0
