Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Scenario 1,3.0,4.0,1.0,33.33,4.6,1.6,53.33
Scenario 2,0.0,0.2,0.2,Inf,1.0,1.0,Inf
Scenario 3,3.4,3.4,0.0,0.0,3.2,-0.2,-5.88
Scenario 4,4.8,4.8,0.0,0.0,7.0,2.2,45.83
Scenario 5,2.6,2.6,0.0,0.0,2.0,-0.6,-23.08
Scenario 6,3.4,3.6,0.2,5.88,2.8,-0.6,-17.65
Scenario 7,7.0,5.2,-1.8,-25.71,5.0,-2.0,-28.57
Scenario 8,3.2,2.4,-0.8,-25.0,2.2,-1.0,-31.25
Scenario 9,3.0,4.4,1.4,46.67,4.0,1.0,33.33
Scenario 10,0.2,0.2,0.0,0.0,0.0,-0.2,-100.0
Average,3.06,3.08,0.02,3.91,3.18,0.12,-8.22
