Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Scenario 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 2,2.0,2.0,0.0,0.0,2.0,0.0,0.0
Scenario 3,2.0,2.0,0.0,0.0,2.0,0.0,0.0
Scenario 4,2.0,2.0,0.0,0.0,2.0,0.0,0.0
Scenario 5,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Scenario 6,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Scenario 7,1.0,2.0,1.0,100.0,2.0,1.0,100.0
Scenario 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenario 9,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Scenario 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Average,1.0,1.1,0.1,10.0,1.1,0.1,10.0
