Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Instance 1,16.0,14.2,-1.8,-11.25,14.6,-1.4,-8.75
Instance 2,14.6,13.0,-1.6,-10.96,14.0,-0.6,-4.11
Instance 3,18.2,19.0,0.8,4.4,18.2,0.0,0.0
Instance 4,20.8,21.8,1.0,4.81,22.8,2.0,9.62
Instance 5,14.4,15.0,0.6,4.17,15.6,1.2,8.33
Instance 6,16.8,18.0,1.2,7.14,19.2,2.4,14.29
Instance 7,14.0,11.8,-2.2,-15.71,12.8,-1.2,-8.57
Instance 8,12.6,13.6,1.0,7.94,12.4,-0.2,-1.59
Instance 9,16.4,15.0,-1.4,-8.54,17.4,1.0,6.1
Instance 10,13.4,13.8,0.4,2.99,12.8,-0.6,-4.48
Average,15.72,15.52,-0.2,-1.5,15.98,0.26,1.08
