Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Inst. 1,3.0,3.0,0.0,0.0,3.0,0.0,0.0
Inst. 2,3.0,3.0,0.0,0.0,3.0,0.0,0.0
Inst. 3,3.0,3.0,0.0,0.0,3.0,0.0,0.0
Inst. 4,6.0,6.0,0.0,0.0,6.0,0.0,0.0
Inst. 5,3.0,3.0,0.0,0.0,3.0,0.0,0.0
Inst. 6,3.0,3.0,0.0,0.0,3.0,0.0,0.0
Inst. 7,2.0,1.0,-1.0,-50.0,1.2,-0.8,-40.0
Inst. 8,2.0,2.0,0.0,0.0,2.0,0.0,0.0
Inst. 9,3.0,3.0,0.0,0.0,3.0,0.0,0.0
Inst. 10,6.0,6.0,0.0,0.0,5.0,-1.0,-16.67
Average,3.4,3.3,-0.1,-5.0,3.22,-0.18,-5.67
