id,start_of_availability,end_of_availability,maximum_ride_time,capacity_walking,depot_latitude,depot_longitude
1,600,960,6,4,60.452168077103096,11.231738001189957
2,600,960,6,4,60.50974048239072,11.321692661510191
3,600,960,6,4,60.24106925771515,11.299203996430132
4,600,960,6,4,59.68453600660146,10.647032709108432
5,600,960,6,4,59.75490227973078,10.781964699588784
6,600,960,6,4,59.4990249228969,10.86067502736899
7,600,960,6,4,60.055558174010585,10.928141022609164
8,600,960,6,4,59.88284095814772,11.411647321830426
9,1080,1440,6,4,59.94681029735619,11.108050343249634
10,1080,1440,6,4,59.86365015638518,11.411647321830426
11,1080,1440,6,4,59.953207231277034,11.16427200594978
12,1080,1440,6,4,59.98519190088127,10.613299711488343
13,840,1200,6,4,59.54380346034283,10.83818636228893
14,840,1200,6,4,60.388198737894626,11.00685135038937
15,840,1200,6,4,60.04916124008974,11.535334979770747
16,840,1200,6,4,59.761299213651625,10.725743036888638
17,840,1200,6,4,59.47343718721351,10.68076570672852
18,840,1200,6,4,59.9212225616728,11.029340015469428
19,840,1200,6,4,59.99798576872296,10.242236737667376
20,840,1200,6,4,60.24746619163599,11.040584348009459
21,840,1200,6,4,60.24746619163599,11.029340015469428
22,840,1200,6,4,59.594978931709605,10.714498704348607
23,840,1200,6,4,60.119527513219055,11.130539008329691
24,840,1200,6,4,60.00438270264381,11.141783340869722
25,840,1200,6,4,60.15151218282329,10.973118352769282
26,840,1200,6,4,59.7165206762057,11.49035764961063
27,840,1200,6,4,60.47135887886564,10.849430694828959
28,840,1200,6,4,60.06835204185228,11.051828680549487
29,840,1200,6,4,60.010779636564656,10.500856386088051
30,840,1200,6,4,59.825268552860095,11.276715331350074
31,840,1200,6,4,59.89563482598941,10.928141022609164
32,840,1200,6,4,60.49054968062818,10.916896690069136
33,840,1200,6,4,59.594978931709605,10.871919359909018
34,840,1200,6,4,60.305038596923616,11.344181326590249
35,840,1200,6,4,60.49054968062818,11.029340015469428
36,840,1200,6,4,59.93401642951449,11.81644329327148
37,840,1200,6,4,60.31143553084446,11.096806010709605
38,840,1200,6,4,59.53740652642198,10.66952137418849
39,840,1200,6,4,59.74850534580993,11.501601982150659
40,360,720,6,4,59.99798576872296,10.242236737667376
41,360,720,6,4,59.93401642951449,10.590811046408286
42,360,720,6,4,60.02357350440635,11.65902263771107
43,360,720,6,4,59.72931454404739,11.467868984530572
44,360,720,6,4,60.010779636564656,11.00685135038937
45,360,720,6,4,59.77409308149332,11.355425659130278
46,360,720,6,4,59.83166548678094,11.355425659130278
47,360,720,6,4,59.71012374228485,11.377914324210337
48,360,720,6,4,60.47135887886564,10.86067502736899
49,360,720,6,4,60.535328218074106,11.366669991670308
50,360,720,6,4,60.29864166300277,11.366669991670308
51,360,720,6,4,59.825268552860095,11.242982333729985
52,360,720,6,4,59.89563482598941,11.82768762581151
53,360,720,6,4,60.48415274670733,11.299203996430132
54,360,720,6,4,59.806077751097554,11.344181326590249
55,360,720,6,4,60.369007936132085,11.074317345629545
56,360,720,6,4,60.157909116744136,10.995607017849341
57,360,720,6,4,59.97879496696042,11.141783340869722
58,360,720,6,4,60.221878455952606,11.130539008329691
59,360,720,6,4,59.908428693831105,11.456624651990541
60,360,720,6,4,59.94681029735619,11.299203996430132
61,360,720,6,4,59.722917610126544,11.287959663890103
62,360,720,6,4,60.25386312555684,11.040584348009459
63,360,720,6,4,59.953207231277034,11.602800975010924
64,360,720,6,4,60.33702326652785,11.141783340869722
65,360,720,6,4,60.0171765704855,10.602055378948315
66,360,720,6,4,60.0299704383272,11.096806010709605
67,360,720,6,4,60.36261100221124,11.130539008329691
68,360,720,6,4,59.79328388325586,10.523345051168109
69,360,720,6,4,60.100336711456514,11.400402989290395
70,360,720,6,4,59.98519190088127,11.344181326590249
71,360,720,6,4,59.908428693831105,10.422146058307845
72,360,720,6,4,59.953207231277034,11.108050343249634
73,360,720,6,4,60.0299704383272,11.051828680549487
74,360,720,6,4,59.81887161893925,10.950629687689224
75,360,720,6,4,59.76769614757247,10.939385355149193
76,360,720,6,4,60.074748975773126,11.276715331350074
77,360,720,6,4,59.79968081717671,11.31044832897016
78,360,720,6,4,60.27305392731938,11.231738001189957
79,360,720,6,4,59.844459354622636,10.973118352769282
80,360,720,6,4,59.94681029735619,11.51284631469069
81,360,720,6,4,60.49054968062818,10.894408024989076
82,360,720,6,4,59.88284095814772,11.377914324210337
83,360,720,6,4,59.991588834802116,10.545833716248168
84,360,720,6,4,59.908428693831105,11.569067977390835
85,360,720,6,4,59.614169733472146,10.714498704348607
86,360,720,6,4,59.87644402422687,11.602800975010924
87,360,720,6,4,60.42658034141971,11.231738001189957
88,360,720,6,4,59.9212225616728,10.793209032128813
89,360,720,6,4,59.87644402422687,11.209249336109897
90,360,720,6,4,59.594978931709605,10.770720367048755
91,360,720,6,4,59.63336053523469,11.321692661510191
92,360,720,6,4,59.85085628854348,11.00685135038937
93,360,720,6,4,60.4393742092614,11.231738001189957
94,360,720,6,4,60.46496194494479,11.231738001189957
