Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Inst. 1,22.38,31.27,8.89,39.72,20.56,-1.82,-8.13
Inst. 2,20.83,28.12,7.29,35.0,17.96,-2.87,-13.78
Inst. 3,20.57,31.95,11.38,55.32,16.52,-4.05,-19.69
Inst. 4,19.64,28.7,9.06,46.13,17.27,-2.37,-12.07
Inst. 5,22.95,31.69,8.74,38.08,19.64,-3.31,-14.42
Inst. 6,19.89,29.58,9.69,48.72,17.6,-2.29,-11.51
Inst. 7,19.95,28.41,8.46,42.41,18.43,-1.52,-7.62
Inst. 8,22.24,28.7,6.46,29.05,18.14,-4.1,-18.44
Inst. 9,21.33,29.96,8.63,40.46,17.54,-3.79,-17.77
Inst. 10,19.96,29.8,9.84,49.3,16.69,-3.27,-16.38
Average,20.97,29.82,8.84,42.42,18.04,-2.94,-13.98
