Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Inst. 1,46.0,55.0,9.0,19.57,50.0,4.0,8.7
Inst. 2,41.0,53.0,12.0,29.27,34.0,-7.0,-17.07
Inst. 3,42.6,56.4,13.8,32.39,39.0,-3.6,-8.45
Inst. 4,44.4,51.4,7.0,15.77,38.0,-6.4,-14.41
Inst. 5,43.8,62.0,18.2,41.55,38.8,-5.0,-11.42
Inst. 6,42.8,51.0,8.2,19.16,43.2,0.4,0.93
Inst. 7,39.8,54.0,14.2,35.68,33.0,-6.8,-17.09
Inst. 8,42.0,54.8,12.8,30.48,36.8,-5.2,-12.38
Inst. 9,39.8,59.8,20.0,50.25,39.4,-0.4,-1.01
Inst. 10,42.0,55.0,13.0,30.95,37.0,-5.0,-11.9
Average,42.42,55.24,12.82,30.51,38.92,-3.5,-8.41
