id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,request_type,request_time,mobility_type,call_time,direct_drive_time
1,59.85085628854348,11.344181326590249,59.69093294052231,10.883163692449047,1,444,WALKING,0,32
2,60.1259244471399,11.119294675789662,60.15151218282329,11.040584348009459,1,561,WALKING,0,6
3,59.825268552860095,10.961874020229253,59.87644402422687,11.366669991670308,0,1051,WALKING,1022,24
4,60.138718314981595,11.231738001189957,59.97879496696042,11.782710295651393,0,882,WALKING,0,36
5,59.91482562775195,11.085561678169574,60.00438270264381,11.108050343249634,1,481,WALKING,0,11
6,59.88284095814772,11.557823644850806,59.85085628854348,11.49035764961063,0,938,WALKING,917,6
7,59.89563482598941,11.242982333729985,59.91482562775195,11.063073013089516,0,828,WALKING,0,11
8,59.991588834802116,10.98436268530931,60.18989378634837,11.130539008329691,0,409,WALKING,0,24
9,59.85725322246433,11.119294675789662,59.89563482598941,11.18676067102984,0,1146,WALKING,1076,6
10,59.95960416519788,11.703999967871187,59.87644402422687,11.16427200594978,1,1232,WALKING,1108,32
11,59.90203175991026,10.410901725767816,59.62056666739299,10.995607017849341,0,1098,WALKING,0,46
12,60.00438270264381,11.33293699405022,59.90203175991026,11.355425659130278,0,978,WALKING,959,12
13,59.844459354622636,11.344181326590249,60.157909116744136,11.220493668649926,1,1007,WALKING,915,36
14,60.06195510793143,11.265470998810043,60.06195510793143,11.49035764961063,1,457,WALKING,0,13
15,60.17709991850668,11.670266970251099,60.202687654190065,11.49035764961063,0,862,WALKING,0,11
16,59.88284095814772,10.602055378948315,59.93401642951449,10.613299711488343,1,1109,WALKING,1013,6
17,60.14511524890244,11.614045307550953,60.10673364537736,11.299203996430132,1,501,WALKING,0,18
18,59.60137586563045,10.703254371808578,59.78688694933501,10.950629687689224,1,558,WALKING,498,25
19,59.94681029735619,11.141783340869722,59.927619495593646,11.220493668649926,0,489,WALKING,0,5
20,59.87644402422687,11.377914324210337,60.32422939868616,11.220493668649926,0,879,WALKING,0,51
