ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_300_0.7_1,1331.92,4.34,10,11,13941.498148148148,17994.323926657962,10013,0,20160,2904,2986,0,0,300,11,1.587,0.2733333333333333,4180,300,3785
Gen_Data_300_0.7_2,1247.5,4.07,1,11,13925.990513833993,17437.544004828476,10296,0,20156,3109,3191,0,0,300,11,1.266,0.2733333333333333,3981,300,3512
Gen_Data_300_0.7_3,1402.4,4.55,2,20,22806.503496503497,17917.795595591757,10086,0,20160,2915,2931,0,0,300,20,0.58,0.05333333333333334,4428,296,3425
Gen_Data_300_0.7_4,1421.49,4.58,4,24,26794.510964912282,18767.958377817256,9669,0,20160,3266,3350,0,0,300,24,1.388,0.28,4630,300,4163
Gen_Data_300_0.7_5,1454.95,4.7,8,24,26792.40740740741,17954.467308562824,10068,0,20160,2819,2868,0,0,300,24,0.709,0.16333333333333333,4464,300,3972
Gen_Data_300_0.7_6,1305.97,4.25,4,16,18871.592935321383,17449.94982619043,10303,0,20160,2871,2946,0,0,300,16,1.207,0.25,4037,300,3500
Gen_Data_300_0.7_7,1421.07,4.61,6,19,21866.531824698795,17771.667713554463,10160,0,20160,2774,2886,0,0,300,19,1.378,0.37333333333333335,4431,300,3904
Gen_Data_300_0.7_8,1383.29,4.45,4,23,25809.40794499618,17759.120938889042,10174,0,20160,2747,2815,0,0,300,23,0.9,0.22666666666666666,4565,300,3759
Gen_Data_300_0.7_9,1360.36,4.43,2,17,19837.620320855614,17904.23636555582,10073,0,20160,2962,2977,0,0,300,17,0.595,0.05,4344,300,3463
Gen_Data_300_0.7_10,1449.7,4.7,3,22,24791.071428571428,17210.804074236326,10431,0,20160,2818,2845,0,0,300,22,0.595,0.09,4432,300,3225
