id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,request_type,request_time,mobility_type,call_time,direct_drive_time
1,60.06835204185228,11.389158656750366,60.11313057929821,11.063073013089516,0,1072,WALKING,1070,19
2,59.56299426210537,10.613299711488343,59.89563482598941,11.321692661510191,0,694,WALKING,677,55
3,60.50334354846987,11.085561678169574,60.46496194494479,11.108050343249634,0,1043,WALKING,1041,5
4,59.77409308149332,11.029340015469428,59.889237892068564,10.602055378948315,0,906,WALKING,876,28
5,59.96600109911873,12.1312846043923,59.98519190088127,11.760221630571333,0,802,WALKING,797,21
6,59.93401642951449,11.15302767340975,59.953207231277034,11.15302767340975,0,897,WALKING,877,3
7,60.31783246476531,11.096806010709605,60.26026005947769,10.961874020229253,0,919,WALKING,894,10
8,59.71012374228485,10.422146058307845,59.68453600660146,10.557078048788197,0,606,WALKING,577,9
9,59.96600109911873,11.366669991670308,60.010779636564656,11.220493668649926,0,765,WALKING,738,10
10,59.99798576872296,11.287959663890103,59.9212225616728,11.422891654370455,0,809,WALKING,800,12
11,59.73571147796824,10.714498704348607,59.83166548678094,10.736987369428666,0,1007,WALKING,979,11
12,59.594978931709605,10.781964699588784,59.69093294052231,10.65827704164846,0,445,WALKING,441,13
13,60.0171765704855,11.175516338489809,59.972398033039575,11.119294675789662,0,896,WALKING,886,6
14,60.42658034141971,11.15302767340975,60.477755812786484,11.15302767340975,0,1087,WALKING,1081,6
15,59.65255133699723,11.546579312310776,59.870047090306024,11.108050343249634,0,995,WALKING,982,35
16,60.36261100221124,11.33293699405022,59.83806242070179,11.557823644850806,0,682,WALKING,669,60
17,60.44577114318225,11.287959663890103,60.42018340749886,11.254226666270014,0,857,WALKING,836,4
18,60.100336711456514,10.973118352769282,60.036367372248044,11.16427200594978,0,921,WALKING,895,13
19,60.38180180397378,11.287959663890103,60.13232138106075,11.175516338489809,0,1089,WALKING,1068,29
20,60.349817134369545,11.051828680549487,60.413786473578014,10.916896690069136,0,807,WALKING,804,11
